NO;X1.1;X1.2;X2.1;X2.2;X2.3;X2.4;X3.1;X3.2;X3.3;X3.4;X4.1;X4.2;X4.3;X4.4;X5.1;X5.2;X5.3;X5.4;X5.5 ;Y1.1;Y1.2;Y1.3
1;3;3;4;3;4;4;4;4;3;3;3;3;3;2;3;3;4;3;3;3;4;3
2;5;4;4;5;3;3;5;4;3;4;4;5;5;5;5;5;5;3;3;4;4;4
3;3;3;4;3;3;3;3;3;3;4;3;4;3;3;5;4;3;3;3;5;5;3
4;4;4;3;5;3;4;4;3;4;4;4;4;4;3;4;4;4;4;5;4;4;3
5;4;4;4;4;3;4;5;4;4;4;4;3;5;5;4;4;4;4;4;3;4;3
6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
7;4;5;4;4;4;4;4;4;4;4;4;4;5;5;4;5;5;4;4;3;4;4
8;4;4;3;4;4;4;5;4;4;4;4;5;5;5;4;4;4;3;5;4;4;5
9;5;5;4;4;4;4;5;4;4;4;4;4;5;5;4;5;4;4;2;4;3;4
10;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4
11;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
12;5;4;3;5;5;4;5;5;4;4;5;4;4;5;4;3;3;4;3;3;4;4
13;3;4;4;4;3;4;4;4;4;4;4;4;5;5;5;5;5;5;5;4;4;4
14;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3
15;1;2;2;3;2;1;5;1;1;5;5;4;4;3;4;5;5;4;4;2;1;2
